FID,X,Y,School_Nam,ESD,SD,County,senate_geoid,senate_district,ods_coordinator,ods_region,ods_contact,house_geoid,house_district,Participated,participation,ODS_Provider,Location,No 5th Grade,No 6th Grade,Number_Attending,Days,Days+Nights,Cost Per Student,Total Request,Fall 5th Grad,Fall 6th Grade,Percent 5th,Percent 6th
64,-122.8519486,45.50454206,Beaver Acres Elementary School,Northwest Regional,Beaverton SD 48J,Washington,41017,State Senate District 17,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41034,State House District 34,,No,,,,,,,,,,118,0,,
65,-122.517635,45.2884527,Beavercreek Elementary School,Clackamas,Oregon City SD 62,Clackamas,41020,State Senate District 20,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41039,State House District 39,,No,,,,,,,,,,98,0,,
66,-122.6714925,42.17593299,Bellview Elementary School,Southern OR,Ashland SD 5,Jackson,41003,State Senate District 3,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41005,State House District 5,,No,,,,,,,,,,59,0,,
67,-121.3088025,44.08789565,Bend International School,High Desert,Bend-LaPine Administrative SD 1,Deschutes,41027,State Senate District 27,Kris Elliott,Central: Deschutes-Jefferson,https://extension.oregonstate.edu/people/kristopher-elliott,41053,State House District 53,1,Yes,UNSURE,undecided/ researching,19,0,19,3,2-Mar,186,3534,21,25,90.47619048,0
68,-122.8189922,45.01209628,Bethany Charter School,Willamette,Silver Falls SD 4J,Marion,41009,State Senate District 9,Kristi Backe,Central: Polk-Marion,https://extension.oregonstate.edu/people/kristi-backe,41018,State House District 18,1,Yes,NWRESD,Camp Cedar Ridge ,13,13,26,3,2-Mar,193.96,5042.96,16,14,81.25,92.85714286
69,-122.8560529,45.54331107,Bethany Elementary School,Northwest Regional,Beaverton SD 48J,Washington,41017,State Senate District 17,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41034,State House District 34,,No,,,,,,,,,,87,0,,
70,-122.631434,45.53691699,Beverly Cleary School,Multnomah,Portland SD 1J,Multnomah,41023,State Senate District 23,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41045,State House District 45,1,Yes,US,"Angelos/SR, Arrah Wanna, Howard, Namanu",0,99,99,6,5-Jun,416.04,41187.96,110,100,0,99
71,-120.5180957,44.82391142,Big Muddy Elementary,Jefferson,Jefferson County SD 509J,Jefferson,41029,State Senate District 29,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41057,State House District 57,,No,,,,,,,,,,2,1,,
72,-122.5898587,45.40913442,Bilquist Elementary School,Clackamas,North Clackamas SD 12,Clackamas,41020,State Senate District 20,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41040,State House District 40,,No,,,,,,,,,,82,0,,
73,-121.6545499,44.44658505,Black Butte Elementary School,Jefferson,Black Butte SD 41,Jefferson,41030,State Senate District 30,Kris Elliott,Central: Deschutes-Jefferson,https://extension.oregonstate.edu/people/kristopher-elliott,41059,State House District 59,,No,,,,,,,,,,6,3,,
74,-123.528954,44.59117999,Blodgett Elementary School,Linn Benton Lincoln,Philomath SD 17J,Benton,41012,State Senate District 12,Charissa Jones,Central: Benton-Polk,https://extension.oregonstate.edu/people/charissa-jones,41023,State House District 23,,No,,,,,,,,,,0,0,,
75,-124.2225435,43.36545468,Blossom Gulch Elementary School,South Coast,Coos Bay SD 9,Coos,41005,State Senate District 5,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41009,State House District 9,,No,,,,,,,,,,0,0,,
76,-122.745372,45.309062,Boeckman Creek Primary School,Clackamas,West Linn-Wilsonville SD 3J,Clackamas,41013,State Senate District 13,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41026,State House District 26,,No,,,,,,,,,,93,0,,
77,-123.0756963,43.79337204,Bohemia Elementary School,Lane,South Lane SD 45J3,Lane,41004,State Senate District 4,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41007,State House District 7,1,Yes,US,Grove Camp,105,0,105,4,Apr-00,154.57,16229.85,107,0,98.13084112,#DIV/0!
78,-122.672746,45.54739898,Boise-Eliot Elementary School,Multnomah,Portland SD 1J,Multnomah,41022,State Senate District 22,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41043,State House District 43,1,Yes,US,"Arrah Wanna, Namanu",0,37,37,6,5-Jun,486.04,17983.48,62,46,0,80.43478261
79,-122.6190434,45.36941304,Bolton Primary School,Clackamas,West Linn-Wilsonville SD 3J,Clackamas,41019,State Senate District 19,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41037,State House District 37,,No,,,,,,,,,,65,0,,
80,-121.4062923,42.19953961,Bonanza Elementary School,Southern OR,Klamath County SD,Klamath,41028,State Senate District 28,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41056,State House District 56,1,Yes,OMSI,Camp Gray:  Outdoor Science School at Coastal Discovery Center,0,34,34,3,2-Mar,181.0897059,7397.05,35,41,0,82.92682927
81,-122.7974854,45.53864295,Bonny Slope Elementary School,Northwest Regional,Beaverton SD 48J,Washington,41017,State Senate District 17,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41033,State House District 33,,No,,,,,,,,,,117,0,,
82,-122.795,45.30036301,Boones Ferry Primary School,Clackamas,West Linn-Wilsonville SD 3J,Clackamas,41013,State Senate District 13,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41026,State House District 26,,No,,,,,,,,,,89,0,,
83,-122.377264,45.43178182,Boring Middle School,Clackamas,Oregon Trail SD 46,Clackamas,41020,State Senate District 20,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41039,State House District 39,,No,,,,,,,,,,0,152,,
84,-122.7804783,43.91722703,Bridge Charter Academy,Lane,Lowell SD 71,Lane,41004,State Senate District 4,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41007,State House District 7,,No,,,,,,,,,,38,43,,
85,-122.732643,45.37845699,Bridgeport Elementary School,Northwest Regional,Tigard-Tualatin SD 23J,Washington,41019,State Senate District 19,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41037,State House District 37,,No,,,,,,,,,,79,0,,
86,-122.5818824,45.51077966,Bridger K-8 School,Multnomah,Portland SD 1J,Multnomah,41023,State Senate District 23,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41046,State House District 46,1,Yes,US,"Arrah Wanna, Namanu",0,35,35,6,5-Jun,416.04,14561.4,68,45,0,77.77777778
87,-122.7242992,45.49235117,Bridlemile Elementary School,Multnomah,Portland SD 1J,Multnomah,41018,State Senate District 18,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41036,State House District 36,,No,,,,,,,,,,90,0,,
88,-122.990552,44.07237811,Briggs Middle School,Lane,Springfield SD 19,Lane,41006,State Senate District 6,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41012,State House District 12,,No,,,,,,,,,,0,183,,
89,-123.9196499,45.99312747,Broadway Middle School,Northwest Regional,Seaside SD 10,Clatsop,41016,State Senate District 16,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41032,State House District 32,,No,,,,,,,,,,0,122,,
90,-123.4397277,43.12399053,Brockway Elementary School,Douglas,Winston-Dillard SD 116,Douglas,41001,State Senate District 1,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41002,State House District 2,,No,,,,,,,,,,0,0,,
91,-117.8212998,44.77707752,Brooklyn Primary School,InterMountain,Baker SD 5J,Baker,41030,State Senate District 30,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41060,State House District 60,,No,,,,,,,,,,0,0,,
92,-122.9417309,45.51605129,Brookwood Elementary School,Northwest Regional,Hillsboro SD 1J,Washington,41015,State Senate District 15,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41029,State House District 29,1,Yes,NWRESD ,Magruder Science School ,0,65,65,3,2-Mar,172.2953846,11199.2,40,57,0,114.0350877
93,-120.6016137,43.81340707,Brothers Elementary School,High Desert,Crook County SD,Deschutes,41028,State Senate District 28,Kris Elliott,Central: Deschutes-Jefferson,https://extension.oregonstate.edu/people/kristopher-elliott,41055,State House District 55,1,Yes,US,SUTTLE LAKE UNITED METHODIST CAMP & RETREAT CENTER,0,1,1,5,4-May,327.45,327.45,1,2,0,50
